"Unique ID","Legal","Address","City","State","Postal Code","SIC2P","SIC2P-Desc","SIC4P","SIC4P-Desc","SIC8P","SIC8P-DESC","SIC2S","SIC2S-Desc","SIC4S","SIC4S-Desc","SIC8S","SIC8S-DESC","NAICS4","NAICS4-DESC","NAICS6","NAICS6-DESC","Company Website","Reference We blink1","Reference We blink2","Reference We blink3","Reference We blink4","Current Company Name","Current Address","Company Name Match Flag","Address Match Flag","Manual SIC Confidence"
"1312508","Shadow+Willow ","3118 sterling st, ","abilene","TX","79606","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321602","Ideal Logistics INC.","10230 67th Ave, ","Forest Hills","NY","11375","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321652","Dreamy Extensions ","140 Belmont cir , ","Covington","GA","30016","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321867","IG Electric","3003 crape myrtle cir, ","Chino Hills","CA","91709","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1303675","ALL SLOPE ROOFING, LLC","319 N AMBOY AVE, ","YACOLT","WA","98675","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321612","JDUB CARTER MUSIC & PUBLISHING L.L.C","315 flicker drive, ","Richmond","VA","23227","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321762","Extension Consulting Corp","215 10th Ave S Unit 326, ","Minneapolis","MN","55415","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321911","Veterans Marble and Granite llc ","8976 Cannon Ridge Dr, ","Manassas","VA","20110","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321919","Sinclair Property Improvements LLC","3284 E Springview Dr, ","Coeur D Alene","ID","83814","","","","","","","","","","","","","","","","","","","","","","","","","",""
"936864","Hebert Plumbing Contractors","6286 Heronwalk Dr, ","Gulf Breeze","FL","32563","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1008952","Eazy Kars Auto Sale LLC","194 Jonesboro Rd Ste T1, ","Jonesboro","GA","30236","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1112459","National Auto Group","2407 Dawes St, ","Rancho Cordova","CA","95670","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1252739","Bang Clothes, Corp","425 ne 22nd st, ","Miami","FL","33137","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1317140","Online Express LLC","4590 s. professional dr., Ste. 5105","Edinburg","TX","78539","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1320528","Ricardo Janeta","130 Pasadena Ave, ","Lodi","NJ","07644-3514","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321801","Elite Construction ","125 TAMI LN, ","Williamsport","IN","47993","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321881","NOWA DIAMOND SHINE LLC","200 Celadon Dr, ","Martinsburg","WV","25403","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1266311","VALLERY & CUMMINGS, L.L.C.","21100 Royal Anne Rd, ","Bothell","WA","98021","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1295657","Valley Physical Therapy Solutions, Inc.","2117 Starlight Dr, ","Modesto","CA","95357","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1306582","Getfiddle Custom Shop","1549 Winchester Ave., ","Ashland","KY","41101","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1309268","TAKO IT SOLUTIONS LLC","309 Fellowship Rd, Suite 200","Mount Laurel","NJ","08054","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1315441","Lou S Corp","5030 Plank Rd, ","Fredericksburg","VA","22407","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1317383","LeRoy Thompson Consultants, LLC","5005 Princess Ann Court, ","Knoxville","TN","37918","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1320626","qi formularie","4901 seminary dr, ","alexandria","VA","22311","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321764","Charleston Lash and Beauty Bar LLC","325 Coleman Blvd , ","Mount Pleasant ","SC","29464","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321863","AutoGlass Works, LLC","118 Fairview Ave, ","Lancaster","PA","17603","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1113403","Trivestx","9512 South Alyssum Way, ","Parker","CO","80134","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1310304","Law Office of Steven H. Burke","9205 W Russell Rd, Suite 240","Las Vegas","NV","89148","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1320238","LJM Logistics USA, Inc","28720 18th Ave S, Z202","Federal Way","WA","98003","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321381","CIA RECOVERY INC","44847 Hwy 8, ","New London","NC","28127","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321598","Diligent Trucking Services LLC","3862 S County Rd W, ","Odessa","TX","79766","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321859","PMCS AC & HEATING COMPANY LLC","2010 Quail Valley East Dr, ","Missouri City","TX","77459","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321878","Cucculelli Shaheen Inc.","262 Mott Street 307, ","New York","NY","10012","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321977","C&M Cosmetics","3858 Pennsylvania St. Apt.248, ","Longview","WA","98632","","","","","","","","","","","","","","","","","","","","","","","","","",""
"319226","Databytes","1274 jostin dr, ","clarksville","TN","37040","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1239219","Five Stars Brands ","31 Rockvale Cir, ","Jamaica Plain","MA","02130","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1312903","MEB LLC","451 Polo Club Dr, ","Austin","TX","78737","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1318057","Haschig Homes Inc","21 Babbit Ln, ","Harvard","MA","01451","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321677","rcetrafficcont","2525 SE Sedgwick Rd, ","Port Orchard","WA","98366","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321743","Golden Proffessional dry cleaners","12 Littell Road , ","East Hanover ","NJ","07936","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321910","Deerfield Ice Cream Factory","Deerfield Ice Cream Factory, 1612 nw 34th terrace","Lauderhill","FL","33311","","","","","","","","","","","","","","","","","","","","","","","","","",""
"814677","John & Cynthia Nesmith","Po, 7946 west county road 300 north","Richland","IN","47634","","","","","","","","","","","","","","","","","","","","","","","","","",""
"846239","Mark Hills","104 Smith Street, ","Manlius","NY","13104","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1307375","Roger Sargent","1216 kay ave, ","chesapeake","VA","23324","","","","","","","","","","","","","","","","","","","","","","","","","",""
