"Unique ID","Legal","Address","City","State","Postal Code","SIC2P","SIC2P-Desc","SIC4P","SIC4P-Desc","SIC8P","SIC8P-DESC","SIC2S","SIC2S-Desc","SIC4S","SIC4S-Desc","SIC8S","SIC8S-DESC","NAICS4","NAICS4-DESC","NAICS6","NAICS6-DESC","Company Website","Reference We blink1","Reference We blink2","Reference We blink3","Reference We blink4","Current Company Name","Current Address","Company Name Match Flag","Address Match Flag","Manual SIC Confidence"
"798044","Fenix Automotive LLC","1947 Belgrade Ave, ","Charleston","SC","29407","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1202561","NGM Parismode LLC","21100 Dulles Town Circle Suite 191, ","Sterling","VA","20166","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1290846","VIASYN, Inc.","2440 Camino Ramon, Suite 343","San Ramon","CA","94583","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1324790","Anchor Construction & Remediation LLLP","1110 Fieldstone Drive, ","canton","GA","30114","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1362654","Vordo, Inc.","2000 Topanga Skyline Dr., ","Topanga","CA","90290","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1363015","Rouna trucking inc","7 Quaker street , ","Marlton ","NJ","00805","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1363127","ATRUCKING CORP","18344 Oxnard st suite 205, ","TARZANA","CA","91356","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1363185","Jasper Snack Shack","904 Betsy Pack Drive, ","Jasper","TN","37347","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1363341","Kirby's Pool Service & Spa, Inc.","203 Driftwood Ln, ","Fort Myers Beach","FL","33931","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1363431","Jc Electric LLC","1 Long Green Ct, ","Silver Spring","MD","20906","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1363525","divine party rentals","8342 Almeda Genoa Rd, ","Houston","TX","77075","","","","","","","","","","","","","","","","","","","","","","","","","",""
"418154","A J Farley Trucking","6013 Crystal Talon St, ","Las Vegas","NV","89130","","","","","","","","","","","","","","","","","","","","","","","","","",""
"621716","Utopianiq Inc","7875 NW 12th ST suit 110, ","Miami","FL","33126","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1077083","Approve Investment LLC","18425 Northwest 2nd Avenue, suite #404O","Miami","FL","33169","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1137526","New Vision Property Preservation","13324 Burleigh St , ","Upper Marlboro","MD","20774","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1273154","SALIBA CENTER, U.S.A. ","201 Puente ave, ","city of industry","CA","91746","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1281288","noracenogender","3708 lake Catherine dr , ","Harvey ","LA","70058","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1292988","E.H. & D.H. LLC","1850 elder hill rd, unit L","Driftwood","TX","78619","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1294718","Renova Home Improvements","4991 E McKinley Ave, ","Fresno","CA","93727","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1356406","NATIONWIDE LITHO, INC.","11728 Goldring Rd, ","Arcadia","CA","91000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1358353","Expo Painting And Contacting LLC","5435 JAEGER RD STE 3, ","Naples","FL","34109","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1359201","StyMac, LLC","12600 Cambridge Rd, ","Leawood","KS","66209","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1360952","Overstock Outlet Superstores ","1442 Smoky Park Hwy, ","Candler","NC","28715","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1361316","Tweed Video Productions","3178 Richmond St, ","Philadelphia","PA","19134","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1362144","Rapid Auto Transport LLC","5202 Midlothian Tpke, ","Crestwood","IL","60418","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1362234","KA Enterprise LLC","11983 bob white drive , Suite 844","Houston ","TX","77035","","","","","","","","","","","","","","","","","","","","","","","","","",""
